Table_Number,Table_Name,Table_Sub_Name,Table_Section,Breakdown,Quarter,Unit,Value
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201703,$ (millions),696
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201706,$ (millions),772
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201709,$ (millions),710
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201712,$ (millions),883
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201803,$ (millions),789
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201806,$ (millions),734
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201809,$ (millions),813
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201812,$ (millions),851
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201903,$ (millions),797
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201906,$ (millions),826
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201909,$ (millions),834
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201912,$ (millions),950
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202003,$ (millions),829
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202006,$ (millions),863
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202009,$ (millions),878
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202012,$ (millions),1043
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202103,$ (millions),873
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202106,$ (millions),977
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202109,$ (millions),1046
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202112,$ (millions),1105
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202203,$ (millions),934
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202206,$ (millions),999
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202209,$ (millions),963
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202212,$ (millions),1002
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202303,$ (millions),946
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202306,$ (millions),1050
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201703,$ (millions),520
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201706,$ (millions),546
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201709,$ (millions),499
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201712,$ (millions),599
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201803,$ (millions),511
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201806,$ (millions),499
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201809,$ (millions),574
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201812,$ (millions),617
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201903,$ (millions),530
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201906,$ (millions),573
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201909,$ (millions),567
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201912,$ (millions),703
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202003,$ (millions),592
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202006,$ (millions),583
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202009,$ (millions),566
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202012,$ (millions),744
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202103,$ (millions),608
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202106,$ (millions),647
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202109,$ (millions),673
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202112,$ (millions),848
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202203,$ (millions),725
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202206,$ (millions),797
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202209,$ (millions),759
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202212,$ (millions),839
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202303,$ (millions),714
1,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202306,$ (millions),807
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201703,$ (millions),30
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201703,$ (millions),175
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201703,$ (millions),48
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201703,$ (millions),86
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201703,$ (millions),217
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201703,$ (millions),67
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201703,$ (millions),73
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201706,$ (millions),24
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201706,$ (millions),181
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201706,$ (millions),65
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201706,$ (millions),93
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201706,$ (millions),248
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201706,$ (millions),47
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201706,$ (millions),113
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201709,$ (millions),20
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201709,$ (millions),166
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201709,$ (millions),56
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201709,$ (millions),82
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201709,$ (millions),252
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201709,$ (millions),61
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201709,$ (millions),73
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201712,$ (millions),32
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201712,$ (millions),218
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201712,$ (millions),75
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201712,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201712,$ (millions),293
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201712,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201712,$ (millions),88
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201803,$ (millions),31
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201803,$ (millions),194
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201803,$ (millions),67
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201803,$ (millions),92
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201803,$ (millions),286
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201803,$ (millions),49
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201803,$ (millions),70
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201806,$ (millions),23
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201806,$ (millions),190
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201806,$ (millions),74
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201806,$ (millions),84
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201806,$ (millions),240
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201806,$ (millions),35
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201806,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201809,$ (millions),21
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201809,$ (millions),212
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201809,$ (millions),70
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201809,$ (millions),84
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201809,$ (millions),276
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201809,$ (millions),88
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201809,$ (millions),62
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201812,$ (millions),31
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201812,$ (millions),270
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201812,$ (millions),73
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201812,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201812,$ (millions),265
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201812,$ (millions),65
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201812,$ (millions),59
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201903,$ (millions),33
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201903,$ (millions),199
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201903,$ (millions),71
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201903,$ (millions),91
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201903,$ (millions),278
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201903,$ (millions),59
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201903,$ (millions),65
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201906,$ (millions),23
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201906,$ (millions),205
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201906,$ (millions),75
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201906,$ (millions),88
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201906,$ (millions),284
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201906,$ (millions),45
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201906,$ (millions),105
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201909,$ (millions),26
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201909,$ (millions),146
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201909,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201909,$ (millions),85
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201909,$ (millions),292
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201909,$ (millions),103
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201909,$ (millions),92
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201912,$ (millions),32
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201912,$ (millions),259
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201912,$ (millions),83
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201912,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201912,$ (millions),315
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201912,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201912,$ (millions),83
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202003,$ (millions),29
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202003,$ (millions),165
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202003,$ (millions),90
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202003,$ (millions),88
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202003,$ (millions),325
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202003,$ (millions),64
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202003,$ (millions),68
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202006,$ (millions),21
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202006,$ (millions),198
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202006,$ (millions),114
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202006,$ (millions),78
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202006,$ (millions),293
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202006,$ (millions),48
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202006,$ (millions),111
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202009,$ (millions),21
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202009,$ (millions),197
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202009,$ (millions),115
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202009,$ (millions),85
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202009,$ (millions),289
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202009,$ (millions),88
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202009,$ (millions),83
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202012,$ (millions),25
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202012,$ (millions),274
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202012,$ (millions),119
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202012,$ (millions),44
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202012,$ (millions),365
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202012,$ (millions),127
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202012,$ (millions),89
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202103,$ (millions),27
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202103,$ (millions),189
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202103,$ (millions),103
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202103,$ (millions),44
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202103,$ (millions),340
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202103,$ (millions),91
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202103,$ (millions),79
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202106,$ (millions),35
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202106,$ (millions),228
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202106,$ (millions),118
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202106,$ (millions),45
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202106,$ (millions),345
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202106,$ (millions),86
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202106,$ (millions),121
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202109,$ (millions),36
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202109,$ (millions),205
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202109,$ (millions),148
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202109,$ (millions),36
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202109,$ (millions),392
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202109,$ (millions),123
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202109,$ (millions),106
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202112,$ (millions),41
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202112,$ (millions),266
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202112,$ (millions),150
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202112,$ (millions),39
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202112,$ (millions),348
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202112,$ (millions),173
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202112,$ (millions),88
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202203,$ (millions),39
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202203,$ (millions),194
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202203,$ (millions),153
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202203,$ (millions),49
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202203,$ (millions),318
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202203,$ (millions),107
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202203,$ (millions),74
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202206,$ (millions),34
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202206,$ (millions),206
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202206,$ (millions),148
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202206,$ (millions),46
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202206,$ (millions),328
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202206,$ (millions),108
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202206,$ (millions),128
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202209,$ (millions),41
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202209,$ (millions),202
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202209,$ (millions),153
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202209,$ (millions),36
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202209,$ (millions),292
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202209,$ (millions),157
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202209,$ (millions),82
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202212,$ (millions),37
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202212,$ (millions),215
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202212,$ (millions),147
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202212,$ (millions),44
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202212,$ (millions),290
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202212,$ (millions),195
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202212,$ (millions),73
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202303,$ (millions),45
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202303,$ (millions),193
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202303,$ (millions),119
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202303,$ (millions),49
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202303,$ (millions),317
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202303,$ (millions),146
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202303,$ (millions),76
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202306,$ (millions),50
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202306,$ (millions),224
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202306,$ (millions),161
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202306,$ (millions),53
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202306,$ (millions),333
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202306,$ (millions),134
2,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202306,$ (millions),95
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201703,$ (millions),18
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201703,$ (millions),132
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201703,$ (millions),36
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201703,$ (millions),54
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201703,$ (millions),180
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201703,$ (millions),64
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201703,$ (millions),36
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201706,$ (millions),17
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201706,$ (millions),151
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201706,$ (millions),35
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201706,$ (millions),69
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201706,$ (millions),183
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201706,$ (millions),41
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201706,$ (millions),50
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201709,$ (millions),17
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201709,$ (millions),137
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201709,$ (millions),39
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201709,$ (millions),41
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201709,$ (millions),158
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201709,$ (millions),52
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201709,$ (millions),54
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201712,$ (millions),19
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201712,$ (millions),172
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201712,$ (millions),38
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201712,$ (millions),64
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201712,$ (millions),198
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201712,$ (millions),60
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201712,$ (millions),48
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201803,$ (millions),18
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201803,$ (millions),146
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201803,$ (millions),39
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201803,$ (millions),37
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201803,$ (millions),178
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201803,$ (millions),46
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201803,$ (millions),48
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201806,$ (millions),17
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201806,$ (millions),154
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201806,$ (millions),47
3,"Purchases by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201806,$ (millions),38
